EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
4093,0.734965838,0.988640455,3.38915622,2.755400652,1.931402587,10.03885736,0.629923325,0.538377878,0.613173953,0.634294209,0.72407198,1.223806299
29880,31.75194225,35.596445,29.26305043,27.42864495,25.69775854,22.87142885,39.41593222,43.90100276,39.11542068,38.41770691,42.04167774,37.28206365
11340,45.63230052,42.6032508,36.1744456,34.48590392,29.7118134,30.90014219,69.01700814,58.6918807,59.17481395,48.33514627,50.88831239,42.26049245
55578,41.56483304,37.76387499,39.75256099,39.09373596,44.80979828,49.08019789,52.28225792,44.24375186,49.68378743,47.391031,47.4381614,51.92267377
122011,10.07048842,10.45164195,12.59801976,10.55374733,11.87286358,10.01028674,8.073412908,8.874902144,7.782283639,8.327583245,8.284438859,7.490117757
10631,0.366561018,0.059855198,0.015481349,0.618132235,0.865118102,0.71997819,0,0,0.019429486,0.021832871,0,0.049373218
7223,0,0.073686507,0.015481349,0.019426045,0,0.049522969,0.11172165,0.199051212,0.11331435,0.110544791,0.101288104,0.100632198
51569,130.3102178,109.8465789,129.4360144,117.0365774,138.2022063,123.0627105,170.9024029,136.4980429,139.968653,127.1139741,131.6870177,112.0429716
341640,0.148062001,0.023189437,0.045071683,0.056378665,0.019406045,0,0.114957166,0.019376701,0.260212453,0.096230077,0.190297346,0.07090089
161003,0.01850775,0,0,0,0.037613831,0,0,0.020257401,0,0,0.018558702,0
80209,53.94628612,45.83843629,43.738621,44.50399717,46.17268212,46.28597668,68.94045061,66.8203139,55.81624337,62.64255457,61.49689421,75.61674499
387921,27.83955223,28.18055295,23.69500057,21.57721521,23.07567539,24.27296411,40.47932455,35.9257134,42.50414001,46.61631074,51.09744835,46.67132311
10186,23.95715674,17.3444461,16.92782238,12.60570921,8.026336274,9.358829318,16.83292442,16.97790936,18.83467796,14.75105198,15.41992754,12.9786418
57511,32.84834096,36.95184916,41.10011251,43.36722769,43.473675,41.51397834,41.22403394,32.74703276,41.88793479,43.42462668,47.04757773,47.80522244
100422940,0,0,0,0,0,0,0,0,0,0,0,0
400123,0.080612793,0.018332881,0.045071683,0,0.037219457,0.053158692,0.021035094,0,0,0,0,0.022414094
646982,0.154643793,0.192658545,0.201869942,0.170886598,0.115442769,0.222489924,0,0.079268204,0.019202323,0.180665255,0.043679397,0.211240877
2308,79.31886373,103.3880912,112.3327515,131.2070896,105.184017,131.7519457,42.4009695,39.82691969,45.46189384,61.6467933,66.40457133,79.47669672
100507202,0.019947771,0.018332881,0.020210847,0,0.130070914,0.022943623,0,0,0.038404646,0.026109613,0.018558702,0
100313896,0,0,0,0.019426045,0,0,0.021035094,0,0,0,0,0.026072701
10240,20.53588037,25.40206217,20.04729994,20.08558271,25.06946206,18.17059224,29.25870198,27.92310726,26.22936828,26.26247427,30.4991551,26.31590617
